,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
554,conspiracy,dailyoccupation.com,https://dailyoccupation.com,40,8464,Daily Occupation,30,LOW,https://mediabiasfactcheck.com/daily-occupation/,/,,
555,fake-news,dailypresser.com,https://dailypresser.com,29,1676,Daily Presser,22,LOW,https://mediabiasfactcheck.com/daily-presser/,/,,
556,right-center,dallasnews.com,https://dallasnews.com,70,3349082,Dallas Morning News,92,HIGH,https://mediabiasfactcheck.com/dallas-morning-news/,/,https://facebook.com/dallasmorningnews,https://twitter.com/dallasnews
557,fake-news,dailystar.co.uk,https://dailystar.co.uk,66,642527,Daily Star UK,74,MIXED,https://mediabiasfactcheck.com/daily-star-uk/,/,https://facebook.com/thedailystar,https://twitter.com/daily_star
558,fake-news,dailyworldinformation.com,https://dailyworldinformation.com,5,2,Daily World Information,11,VERY LOW,https://mediabiasfactcheck.com/daily-world-information/,/,,
559,left,dallasvoice.com,https://dallasvoice.com,55,32318,Dallas Voice,50,HIGH,https://mediabiasfactcheck.com/dallas-voice/,/,https://facebook.com/dallasvoicelgbt,
560,satire,dailysquib.co.uk,https://dailysquib.co.uk,51,20173,Daily Squib,41,SATIRE,https://mediabiasfactcheck.com/the-daily-squib/,/,https://facebook.com/dailysquib,https://twitter.com/dailysquib
561,right-center,dailypress.com,https://dailypress.com,61,1078706,Daily Press,84,HIGH,https://mediabiasfactcheck.com/daily-press/,/,https://facebook.com/dailypressnews,https://twitter.com/daily_press
562,conspiracy,davidwolfe.com,https://davidwolfe.com,57,84049,David Wolfe,58,MIXED,https://mediabiasfactcheck.com/david-wolfe/,/,,https://twitter.com/davidwolfe
563,left-center,dawn.com,https://dawn.com,66,1606044,Dawn,89,HIGH,https://mediabiasfactcheck.com/dawn/,/,https://facebook.com/dawndotcom,https://twitter.com/dawn_com
564,fake-news,dcbluedot.com,https://dcbluedot.com,18,3965,DC Blue Dot,35,MIXED,https://mediabiasfactcheck.com/dc-blue-dot/,/,,https://twitter.com/bluedotdaily
565,conspiracy,davidicke.com,https://davidicke.com,62,1239324,David Icke,76,VERY LOW,https://mediabiasfactcheck.com/david-icke/,/,https://facebook.com/davidicke,https://twitter.com/davidicke
566,center,daytondailynews.com,https://daytondailynews.com,62,824782,Dayton Daily News,78,HIGH,https://mediabiasfactcheck.com/dayton-daily-news/,/,https://facebook.com/daytondailynews,https://twitter.com/daytondailynews
567,conspiracy,darkjournalist.com,https://darkjournalist.com,40,3708,Dark Journalist,33,LOW,https://mediabiasfactcheck.com/dark-journalist/,/,https://facebook.com/darkjournalist,https://twitter.com/darkjournalist
568,right,dangerous.com,https://dangerous.com,45,39949,Dangerous,52,MIXED,https://mediabiasfactcheck.com/dangerous/,/,https://facebook.com/myiannopoulos,
569,conspiracy,dataasylum.com,https://dataasylum.com,37,719,Data Asylum,27,LOW,https://mediabiasfactcheck.com/data-asylum/,/,,
570,right,dcwhispers.com,https://dcwhispers.com,43,41033,DC Whispers,50,MIXED,https://mediabiasfactcheck.com/dc-whispers/,/,https://facebook.com/dcwhispersofficial,https://twitter.com/realdcwhispers
571,fake-news,damreports.com,https://damreports.com,13,5,Dam-Reports,15,VERY LOW,https://mediabiasfactcheck.com/dam-reports/,/,,
572,fake-news,dcdirtylaundry.com,https://dcdirtylaundry.com,40,202161,DC Dirty Laundry,72,VERY LOW,https://mediabiasfactcheck.com/dc-dirty-laundry/,/,https://facebook.com/d.c.clothesline,https://twitter.com/dcclothesline
573,right-center,volkskrant.nl,https://volkskrant.nl,65,779343,de Volkskrant,85,HIGH,https://mediabiasfactcheck.com/de-volkskrant/,/,https://facebook.com/volkskrant,https://twitter.com/volkskrant
574,fake-news,thedcgazette.com,https://thedcgazette.com,27,35,DC Gazette,20,LOW,https://mediabiasfactcheck.com/dc-gazette/,/,,
575,right,dcstatesman.com,https://dcstatesman.com,30,7869,DC Statesman,24,MIXED,https://mediabiasfactcheck.com/dc-statesman/,/,https://facebook.com/dcstatesman,https://twitter.com/dcstatesman
576,center,darientimes.com,https://darientimes.com,50,171957,Darien Times,69,HIGH,https://mediabiasfactcheck.com/darien-times/,/,https://facebook.com/darientimes,https://twitter.com/dariennews
577,left,deadstate.org,https://deadstate.org,45,22678,Dead State,33,HIGH,https://mediabiasfactcheck.com/dead-state/,/,https://facebook.com/deadstate.org,https://twitter.com/deadstatetweets
578,left,politicaltribune.org,https://politicaltribune.org,21,8145,Political Tribune (Formerly DC Tribune),32,MIXED,https://mediabiasfactcheck.com/dc-tribune/,/,https://facebook.com/dctribunemedia,https://twitter.com/politribune
579,left-center,dcreport.org,https://dcreport.org,45,79768,DCReport.org,58,HIGH,https://mediabiasfactcheck.com/dcreport-org/,/,https://facebook.com/dcreportmedia,https://twitter.com/dcreportmedia
580,fake-news,debka.com,https://debka.com,61,729987,DEBKAfile,86,MIXED,https://mediabiasfactcheck.com/debkafile/,/,https://facebook.com/debka.english,https://twitter.com/debka_english
581,right,debatepost.com,https://debatepost.com,33,5473,Debate Post,20,HIGH,https://mediabiasfactcheck.com/debate-post/,/,https://facebook.com/firstcanada,https://twitter.com/truecanadafirst
582,left,deadspin.com,https://deadspin.com,66,10748148,Deadspin,99,HIGH,https://mediabiasfactcheck.com/deadspin/,/,https://facebook.com/deadspin,https://twitter.com/deadspin
583,center,defensenews.com,https://defensenews.com,61,512469,Defense News,82,HIGH,https://mediabiasfactcheck.com/defense-news/,/,https://facebook.com/defensenews,
584,left,democracychronicles.org,https://democracychronicles.org,31,17402,Democracy Chronicles,45,HIGH,https://mediabiasfactcheck.com/democracy-chronicles/,/,,
585,fake-news,defund.com,https://defund.com,33,4368,Defund.com,32,LOW,https://mediabiasfactcheck.com/defund-com/,/,,
586,left,deathandtaxesmag.com,https://deathandtaxesmag.com,56,184192,DeathandTaxes,70,HIGH,https://mediabiasfactcheck.com/deathandtaxes/,/,https://facebook.com/spin,https://twitter.com/spin
587,left-center,deccanherald.com,https://deccanherald.com,62,1732818,Deccan Herald,84,MIXED,https://mediabiasfactcheck.com/deccan-herald/,/,https://facebook.com/deccanherald,https://twitter.com/deccanherald
588,center,defenseone.com,https://defenseone.com,55,199685,Defense One,73,HIGH,https://mediabiasfactcheck.com/defense-one/,/,https://facebook.com/defenseone,https://twitter.com/defenseone
589,left,democracynow.org,https://democracynow.org,70,2483056,Democracy Now,95,HIGH,https://mediabiasfactcheck.com/democracy-now/,/,https://facebook.com/democracynow,https://twitter.com/democracynow
590,left-center,delawareonline.com,https://delawareonline.com,62,1415758,Delaware Online - The News Journal,61,HIGH,https://mediabiasfactcheck.com/delaware-online-news-journal/,/,https://facebook.com/delawareonline,https://twitter.com/delawareonline
591,right-center,deccanchronicle.com,https://deccanchronicle.com,62,1842376,Deccan Chronicle,88,HIGH,https://mediabiasfactcheck.com/deccan-chronicle/,/,https://facebook.com/deccannews,https://twitter.com/deccanchronicle
592,left,democracyguardian.com,https://democracyguardian.com/,29,159,Democracy Guardian,19,MOSTLY FACTUAL,https://mediabiasfactcheck.com/democracy-guardian/,/,,
593,left,deepleftfield.info,https://deepleftfield.info,29,397,Deep Left Field,22,MIXED,https://mediabiasfactcheck.com/deep-left-field/,/,,
594,conspiracy,debunkingskeptics.com,https://debunkingskeptics.com,48,91254,Debunking Skeptics,44,LOW,https://mediabiasfactcheck.com/scepcop-debunking-skeptics/,/,https://facebook.com/groups/128437788115,
595,fake-news,defiantamerica.com,https://defiantamerica.com,36,50833,Defiant America,55,LOW,https://mediabiasfactcheck.com/defiant-america/,/,https://facebook.com/defiantamerica,https://twitter.com/americadefiant
596,fake-news,defendevropa.org,https://defendevropa.org,37,2073,Defend Europa,32,LOW,https://mediabiasfactcheck.com/defend-europa/,/,https://facebook.com/defendevropa,https://twitter.com/defendevropa
597,left-center,deadline.com,https://deadline.com,67,1796920,Deadline Hollywood,91,HIGH,https://mediabiasfactcheck.com/deadline-hollywood/,/,https://facebook.com/deadline,https://twitter.com/deadline
598,left-center,democracy21.org,https://democracy21.org,45,66237,Democracy 21,60,HIGH,https://mediabiasfactcheck.com/democracy-21/,/,https://facebook.com/democracy21news,
599,left,deepstatenation.com,https://deepstatenation.com,31,72263,DeepStateNation.com,60,MIXED,https://mediabiasfactcheck.com/deepstatenation-com/,/,,
600,left-center,westword.com,https://westword.com/,55,13166,Denver Westword,42,HIGH,https://mediabiasfactcheck.com/denver-westword/,/,,
601,fake-news,trumpers.online,https://trumpers.online,13,16,Departed (Maganews.com),14,VERY LOW,https://mediabiasfactcheck.com/departed-maganews-com/,/,,
602,left,democraticunderground.com,https://democraticunderground.com,62,1930266,Democratic Underground,88,MIXED,https://mediabiasfactcheck.com/democratic-underground/,/,https://facebook.com/democraticunderground,
603,fake-news,democraticmoms.com,https://democraticmoms.com,27,3883,Democratic Moms,19,LOW,https://mediabiasfactcheck.com/democratic-moms/,/,,
604,satire,derfmagazine.com,https://derfmagazine.com,48,55302,Derf Magazine,45,SATIRE,https://mediabiasfactcheck.com/derf-magazine/,/,https://facebook.com/derf-magazine-7503022508,
605,right-center,deseretnews.com,https://deseretnews.com,64,145928,Deseret News,68,HIGH,https://mediabiasfactcheck.com/deseret-news/,/,https://facebook.com/deseretnews,https://twitter.com/deseretnews
606,right,deplorablesreport.com,https://deplorablesreport.com,13,3,Deplorables Report,11,MIXED,https://mediabiasfactcheck.com/deplorables-report/,/,,
607,left-center,freep.com,https://freep.com,68,1876495,Detroit Free Press,80,HIGH,https://mediabiasfactcheck.com/detroit-free-press/,/,https://facebook.com/detroitfreepress,https://twitter.com/freep
608,right-center,desertsun.com,https://desertsun.com,54,755765,Desert Sun,86,HIGH,https://mediabiasfactcheck.com/desert-sun/,/,https://facebook.com/thedesertsun,https://twitter.com/mydesert
609,center,desmoinesregister.com,https://desmoinesregister.com,64,1259246,Des Moines Register,75,HIGH,https://mediabiasfactcheck.com/the-des-moines-register/,/,https://facebook.com/desmoinesregister,https://twitter.com/dmregister
610,left,desmogblog.com,https://desmogblog.com,58,343880,DeSmog,78,HIGH,https://mediabiasfactcheck.com/desmog/,/,https://facebook.com/desmogblog,https://twitter.com/desmogblog
611,fake-news,deplorablemovement2020.news,https://deplorablemovement2020.news,12,6,Deplorable Movement 2020,11,LOW,https://mediabiasfactcheck.com/deplorable-movement-2020/,/,,
612,left-center,demos.org,https://demos.org,57,153332,Demos,65,HIGH,https://mediabiasfactcheck.com/demos/,/,https://facebook.com/demosideasaction,https://twitter.com/demos_org
613,right-center,detroitnews.com,https://detroitnews.com,62,1594957,Detroit News,79,HIGH,https://mediabiasfactcheck.com/detroit-news/,/,https://facebook.com/detroitnews,https://twitter.com/detroitnews
614,left-center,denverpost.com,https://denverpost.com,70,1941898,Denver Post,84,HIGH,https://mediabiasfactcheck.com/denver-post/,/,https://facebook.com/denverpost,https://twitter.com/denverpost
615,left-center,democratandchronicle.com,https://democratandchronicle.com,61,1523874,Democrat and Chronicle,61,HIGH,https://mediabiasfactcheck.com/democrat-and-chronicle/,/,https://facebook.com/democratandchronicle,https://twitter.com/dandc
616,fake-news,denverguardian.com,https://denverguardian.com,35,182,Denver Guardian,24,VERY LOW,https://mediabiasfactcheck.com/denver-guardian/,/,,
617,left-center,diversityinc.com,https://diversityinc.com,57,78000,DiversityInc,54,HIGH,https://mediabiasfactcheck.com/diversityinc/,/,https://facebook.com/diversityinc,https://twitter.com/diversityinc
618,center,differencebetween.net,https://differencebetween.net,57,41021,DifferenceBetween.net,45,VERY HIGH,https://mediabiasfactcheck.com/differencebetween-net/,/,https://facebook.com/differencebetween,
619,right-center,downsizinggovernment.org,https://downsizinggovernment.org,49,112160,Downsizing the Federal Government,65,HIGH,https://mediabiasfactcheck.com/downsizing-the-federal-government/,/,https://facebook.com/downsizinggovernment,https://twitter.com/downsizethefeds
620,fake-news,donaldtrumpnews.co,https://donaldtrumpnews.co,33,643,Donald Trump News,25,VERY LOW,https://mediabiasfactcheck.com/donald-trump-news/,/,,
621,left-center,zeit.de,https://zeit.de,70,1069621,Die Zeit,89,HIGH,https://mediabiasfactcheck.com/die-zeit/,/,https://facebook.com/zeitonline,https://twitter.com/zeitonline
622,conspiracy,disobedientmedia.com,https://disobedientmedia.com,46,94932,Disobedient Media,63,MIXED,https://mediabiasfactcheck.com/disobedient-media/,/,,https://twitter.com/disobedientnews
623,conspiracy,draxe.com,https://draxe.com,62,216279,Dr. Axe,72,MIXED,https://mediabiasfactcheck.com/dr-axe/,/,https://facebook.com/drjoshaxe,https://twitter.com/drjoshaxe
624,fake-news,discoverthenetworks.org,https://discoverthenetworks.org,56,418779,Discover the Networks,81,LOW,https://mediabiasfactcheck.com/discover-the-networks/,/,https://facebook.com/discovertheleftistnetworks,https://twitter.com/leftistnetworks
625,fake-news,downtrend.com,https://downtrend.com,47,34791,Downtrend,44,LOW,https://mediabiasfactcheck.com/downtrend/,/,,
626,center,doctorswithoutborders.org,https://doctorswithoutborders.org,66,502833,Doctors Without Borders,83,HIGH,https://mediabiasfactcheck.com/doctors-without-borders/,/,https://facebook.com/msf.english,https://twitter.com/msf_usa
627,pro-science,doubtfulnews.com,https://doubtfulnews.com,49,37493,Doubtful News,53,VERY HIGH,https://mediabiasfactcheck.com/doubtful-news/,/,https://facebook.com/doubtfulnews,
628,conspiracy,discovery.org,https://discovery.org,58,171078,Discovery Institute,68,LOW,https://mediabiasfactcheck.com/discovery-institute/,/,https://facebook.com/thediscoveryinstitute,
629,center,digitaljournal.com,https://digitaljournal.com,64,3516039,Digital Journal,94,HIGH,https://mediabiasfactcheck.com/digital-journal/,/,https://facebook.com/digitaljournal,
630,conspiracy,doctoroz.com,https://doctoroz.com,64,280787,DoctorOz.com (Dr. Oz),69,MIXED,https://mediabiasfactcheck.com/doctoroz-com/,/,https://facebook.com/droz,https://twitter.com/droz
631,left-center,digg.com,https://digg.com,81,27328799,Digg,100,HIGH,https://mediabiasfactcheck.com/digg/,/,https://facebook.com/digg,https://twitter.com/digg
632,conspiracy,disclose.tv,https://disclose.tv,60,219482,Disclose TV,68,LOW,https://mediabiasfactcheck.com/disclose-tv/,/,,
633,left,dissentmagazine.org,https://dissentmagazine.org,58,339585,Dissent Magazine,79,HIGH,https://mediabiasfactcheck.com/dissent-magazine/,/,https://facebook.com/dissentmag,https://twitter.com/dissentmag
634,center,dpa-international.com,https://dpa-international.com,49,16951,DPA German Press Agency,31,HIGH,https://mediabiasfactcheck.com/dpa-german-press-agency/,/,,https://twitter.com/dpa_intl
635,pro-science,discovermagazine.com,https://discovermagazine.com,65,695936,Discover Magazine,86,HIGH,https://mediabiasfactcheck.com/discover-magazine/,/,https://facebook.com/discovermag,https://twitter.com/discovermag
636,left,earthfirstjournal.org,https://earthfirstjournal.org,48,111403,Earth First Journal,64,MIXED,https://mediabiasfactcheck.com/earth-first-journal/,/,,
637,left-center,dutchdailynews.com,https://dutchdailynews.com,49,3221,Dutch Daily News,34,HIGH,https://mediabiasfactcheck.com/dutch-daily-news/,/,,https://twitter.com/dutchdailynews
638,conspiracy,ewao.com,https://ewao.com,45,31950,Earth We are One (EWAO),48,LOW,https://mediabiasfactcheck.com/earth-one-ewao/,/,,
639,left-center,dutchreview.com,https://dutchreview.com,43,9003,Dutch Review,25,MIXED,https://mediabiasfactcheck.com/dutch-review/,/,https://facebook.com/dutchreview,https://twitter.com/dutchreviewing
640,pro-science,earthmagazine.org,https://earthmagazine.org,49,64393,Earth Magazine,51,VERY HIGH,https://mediabiasfactcheck.com/earth-magazine/,/,https://facebook.com/earthmagazine,https://twitter.com/earthmagazine
641,fake-news,drainingtheswamp.info,https://drainingtheswamp.info,13,2,Draining the Swamp,11,LOW,https://mediabiasfactcheck.com/draining-the-swamp/,/,,
642,right,eagleactionreport.com,https://eagleactionreport.com,24,602,Eagle PAC,18,MIXED,https://mediabiasfactcheck.com/eagle-pac/,/,https://facebook.com/phyllisschlaflyseaglepac,https://twitter.com/twitter_handle
643,center,duluthnewstribune.com,https://duluthnewstribune.com,56,242699,Duluth News Tribune,50,HIGH,https://mediabiasfactcheck.com/duluth-news-tribune/,/,https://facebook.com/duluthnews,https://twitter.com/duluthnews
644,left-center,earthjustice.org,https://earthjustice.org,59,233537,EarthJustice,74,HIGH,https://mediabiasfactcheck.com/earthjustice/,/,https://facebook.com/earthjustice,https://twitter.com/earthjustice
645,satire,duffelblog.com,https://duffelblog.com,53,130947,Duffel Blog,66,SATIRE,https://mediabiasfactcheck.com/duffel-blog/,/,https://facebook.com/duffelblog,https://twitter.com/duffelblog
646,pro-science,earthsky.org,https://earthsky.org,61,123317,Earth & Sky,63,VERY HIGH,https://mediabiasfactcheck.com/earth-sky/,/,,https://twitter.com/earthskyscience
647,fake-news,earthnews2016.com,https://earthnews2016.com,14,4,EarthNews-Conservative News,13,MIXED,https://mediabiasfactcheck.com/earthnews-conservative-news/,/,,
648,center,earth.columbia.edu,https://earth.columbia.edu,58,26649,Earth Institute,35,HIGH,https://mediabiasfactcheck.com/earth-institute/,/,https://facebook.com/earthinstitute,
649,fake-news,eaglerising.com,https://eaglerising.com,45,43752,Eagle Rising,43,LOW,https://mediabiasfactcheck.com/eagle-rising/,/,https://facebook.com/theeagleisrising,
650,left,drudge.com,https://drudge.com,54,273770,Drudge Retort,76,MIXED,https://mediabiasfactcheck.com/drudge-retort/,/,https://facebook.com/venicepd,https://twitter.com/davidsirota
651,satire,duhprogressive.com,https://duhprogressive.com,33,3472,Duh Progressive,32,SATIRE,https://mediabiasfactcheck.com/duh-progressive/,/,https://facebook.com/none,https://twitter.com/duh_progressive
652,fake-news,drudgereport.com,https://drudgereport.com,69,5523022,Drudge Report,98,LOW,https://mediabiasfactcheck.com/drudge-report/,/,,https://twitter.com/drudge_report
653,left-center,dw.com,https://dw.com,68,5226649,DW News,97,HIGH,https://mediabiasfactcheck.com/dw-news/,/,,
654,conspiracy,educate-yourself.org,https://educate-yourself.org,55,65988,Educate Yourself,56,LOW,https://mediabiasfactcheck.com/educate-yourself/,/,,
655,conspiracy,educateinspirechange.org,https://educateinspirechange.org,48,45285,Educate Inspire Change,50,MIXED,https://mediabiasfactcheck.com/educate-inspire-change/,/,https://facebook.com/educateinspirechange.org,
656,left,electoral-vote.com,https://electoral-vote.com,59,696867,Electoral-Vote.com,86,HIGH,https://mediabiasfactcheck.com/electoral-vote-com/,/,,https://twitter.com/votemaster
657,left-center,epi.org,https://epi.org,63,420095,Economic Policy Institute,75,HIGH,https://mediabiasfactcheck.com/economic-policy-institute/,/,https://facebook.com/economicpolicy,https://twitter.com/economicpolicy
658,right,economicpolicyjournal.com,https://economicpolicyjournal.com,54,293615,EconomicPolicyJournal.com,76,HIGH,https://mediabiasfactcheck.com/economicpolicyjournal-com/,/,https://facebook.com/wenzeleconomics,https://twitter.com/wenzeleconomics
659,left-center,eastbaytimes.com,https://eastbaytimes.com,55,1028455,East Bay Times,82,HIGH,https://mediabiasfactcheck.com/east-bay-times/,/,https://facebook.com/eastbaytimes,https://twitter.com/eastbaytimes
660,left,egbertowillies.com,https://egbertowillies.com,43,54632,Egberto Willies,53,MIXED,https://mediabiasfactcheck.com/egbertowillies/,/,https://facebook.com/egbertowillies,https://twitter.com/egbertowillies
661,right-center,edmontonjournal.com,https://edmontonjournal.com,57,557680,Edmonton Journal,78,HIGH,https://mediabiasfactcheck.com/edmonton-journal/,/,https://facebook.com/edmontonjournal,https://twitter.com/edmontonjournal
662,center,ejinsight.com,https://ejinsight.com,48,823591,EJ Insight,87,HIGH,https://mediabiasfactcheck.com/ej-insight-eji/,/,https://facebook.com/ejinsight,https://twitter.com/ejinsighthk
663,left-center,economicshelp.org,https://economicshelp.org,55,13315,Economics.Help,39,HIGH,https://mediabiasfactcheck.com/economics-help/,/,,https://twitter.com/economicshelp
664,conspiracy,earthpulse.com,https://earthpulse.com,42,46030,Earthpulse Press,54,LOW,https://mediabiasfactcheck.com/earthpulse-press/,/,,
665,left-center,elpasotimes.com,https://elpasotimes.com,59,126718,El Paso Times,62,HIGH,https://mediabiasfactcheck.com/el-paso-times/,/,https://facebook.com/eptimes,https://twitter.com/elpasotimes
666,left,economyincrisis.org,https://economyincrisis.org,45,23531,Economy in Crisis,42,MIXED,https://mediabiasfactcheck.com/economy-in-crisis/,/,,
667,right-center,edmontonsun.com,https://edmontonsun.com,57,488350,Edmonton Sun,83,HIGH,https://mediabiasfactcheck.com/edmonton-sun/,/,https://facebook.com/edmontonsun,
668,left-center,egyptianstreets.com,https://egyptianstreets.com,49,32722,Egyptian Streets,42,MIXED,https://mediabiasfactcheck.com/egyptian-streets/,/,https://facebook.com/egyptianstreets,https://twitter.com/egyptianstreets
669,conspiracy,ecowatch.com,https://ecowatch.com,56,196317,Ecowatch,68,MIXED,https://mediabiasfactcheck.com/ecowatch/,/,https://facebook.com/ecowatch,https://twitter.com/ecowatch
670,conspiracy,econewsmedia.org,https://econewsmedia.org,26,17,Eco News,18,MIXED,https://mediabiasfactcheck.com/eco-news/,/,https://facebook.com/econewsmedia,
671,pro-science,edge.org,https://edge.org,63,675939,Edge Foundation,85,VERY HIGH,https://mediabiasfactcheck.com/edge-foundation/,/,,
672,left-center,elpais.com,https://elpais.com,74,10325795,El Pais,98,HIGH,https://mediabiasfactcheck.com/el-pais/,/,https://facebook.com/elpais,https://twitter.com/el_pais
673,left-center,engadget.com,https://engadget.com,78,5122066,Engadget,97,HIGH,https://mediabiasfactcheck.com/engadget/,/,https://facebook.com/engadget,https://twitter.com/engadget
674,left,electronicintifada.net,https://electronicintifada.net,60,323143,Electronic Intifada,78,MOSTLY FACTUAL,https://mediabiasfactcheck.com/electronic-intifada/,/,https://facebook.com/electronicintifada,https://twitter.com/intifada
675,left-center,emirates247.com,https://emirates247.com,60,1251662,Emirates 24/7,89,HIGH,https://mediabiasfactcheck.com/emirates-247/,/,https://facebook.com/emirates247,https://twitter.com/emirates247
676,satire,empirenews.net,https://empirenews.net,45,23032,Empire News,42,SATIRE,https://mediabiasfactcheck.com/empire-news/,/,https://facebook.com/empirenewsnet,
677,fake-news,endingthefed.com,https://endingthefed.com,43,3328,Ending the Fed,34,LOW,https://mediabiasfactcheck.com/ending-the-fed-news/,/,,
678,fake-news,empireherald.com,https://empireherald.com,34,8389,Empire Herald,29,LOW,https://mediabiasfactcheck.com/empire-herald/,/,,
679,left-center,eff.org,https://eff.org,74,10439691,Electronic Frontier Foundation,99,HIGH,https://mediabiasfactcheck.com/electronic-frontier-foundation/,/,https://facebook.com/eff,https://twitter.com/eff
680,left-center,emptywheel.net,https://emptywheel.net,54,420174,Empty Wheel,79,HIGH,https://mediabiasfactcheck.com/empty-wheel/,/,,https://twitter.com/nproctor
681,satire,encyclopediadramatica.rs,https://encyclopediadramatica.rs,46,3492,Encyclopedia Dramatic,32,SATIRE,https://mediabiasfactcheck.com/encyclopedia-dramatica/,/,https://facebook.com/groups/encyclopaedia.dramatica,
682,conspiracy,eluxemagazine.com,https://eluxemagazine.com,49,9602,Eluxe Magazine,38,MIXED,https://mediabiasfactcheck.com/eluxe-magazine/,/,https://facebook.com/eluxemagazine?ref,https://twitter.com/eluxemagazine
683,fake-news,en-volve.com,https://en-volve.com,40,67927,En-volve,49,VERY LOW,https://mediabiasfactcheck.com/en-volve/,/,https://facebook.com/envolve.news,https://twitter.com/en_volve
684,fake-news,embols.com,https://embols.com,28,45,Embols,20,LOW,https://mediabiasfactcheck.com/embols/,/,,
685,satire,enduringvision.com,https://enduringvision.com,36,2185,Enduring Vision,29,SATIRE,https://mediabiasfactcheck.com/enduring-vision/,/,,https://twitter.com/enduringvision
686,right,energycitizens.org,https://energycitizens.org,36,1245,Energy Citizens,29,MIXED,https://mediabiasfactcheck.com/energy-citizens/,/,https://facebook.com/energy.citizens,
687,left,elisabethparker.com,https://elisabethparker.com,28,1039,Elisabeth Parker,27,HIGH,https://mediabiasfactcheck.com/elisabeth-parker/,/,https://facebook.com/elisabethparkerwriter,https://twitter.com/iamelisabethp
688,left,elitedaily.com,https://elitedaily.com,62,85075,Elite Daily,62,MIXED,https://mediabiasfactcheck.com/elite-daily/,/,https://facebook.com/elitedaily,https://twitter.com/elitedaily
689,satire,empiresports.co,https://empiresports.co,36,57,Empire Sports News,21,SATIRE,https://mediabiasfactcheck.com/empire-sports-news/,/,https://facebook.com/empiresportsnet,
690,pro-science,britannica.com,https://britannica.com,75,2010819,Encyclopedia Britannica,92,HIGH,https://mediabiasfactcheck.com/encyclopedia-britannica/,/,https://facebook.com/britannica,https://twitter.com/britannica
691,conspiracy,endtimeheadlines.org,https://endtimeheadlines.org,45,146564,End Time Headlines,61,LOW,https://mediabiasfactcheck.com/end-time-headlines/,/,https://facebook.com/endtimeheadline,https://twitter.com/end time headlines
692,center,eurasiagroup.net,https://eurasiagroup.net,51,18187,Eurasia Group,44,HIGH,https://mediabiasfactcheck.com/eurasia-group/,/,https://facebook.com/none,https://twitter.com/eurasiagroup
693,center,goerie.com,https://goerie.com,58,348574,Erie Times-News,55,HIGH,https://mediabiasfactcheck.com/erie-times-news/,/,https://facebook.com/goerie,https://twitter.com/goerie
694,conspiracy,ewg.org,https://ewg.org,70,1838398,Environmental Working Group (EWG),77,MIXED,https://mediabiasfactcheck.com/environmental-working-group-ewg/,/,https://facebook.com/ewg.org,https://twitter.com/ewg
695,center,news.err.ee,https://news.err.ee,54,5793107,ERR News (Estonia Public Broadcasting),95,HIGH,https://mediabiasfactcheck.com/err-news-estonia-public-broadcasting/,/,,https://twitter.com/errnews
696,fake-news,enhlive.com,https://enhlive.com,23,2898,ENH Live,22,LOW,https://mediabiasfactcheck.com/enh-live/,/,,
697,conspiracy,escapeallthesethings.com,https://escapeallthesethings.com,39,10629,Escape all these Things,35,LOW,https://mediabiasfactcheck.com/escape-all-these-things/,/,https://facebook.com/timmchyde,
698,left,esquire.com,https://esquire.com,69,591263,Esquire Magazine,82,MOSTLY FACTUAL,https://mediabiasfactcheck.com/esquire-magazine/,/,https://facebook.com/esquire,https://twitter.com/esquire
699,satire,eveningharold.com,https://eveningharold.com,36,19430,Evening Harold,38,SATIRE,https://mediabiasfactcheck.com/evening-harold/,/,,
700,center,euronews.com,https://euronews.com,67,4566920,Euronews,96,HIGH,https://mediabiasfactcheck.com/euronews/,/,https://facebook.com/euronews,https://twitter.com/euronews
701,right,erlc.com,https://erlc.com,51,97471,Ethics & Religious Liberty Commission,56,MIXED,https://mediabiasfactcheck.com/ethics-religious-liberty-commission-erlc/,/,https://facebook.com/erlcsbc,https://twitter.com/erlc
702,left-center,euobserver.com,https://euobserver.com,61,329856,EU Observer,76,HIGH,https://mediabiasfactcheck.com/eu-observer/,/,https://facebook.com/euobserver,https://twitter.com/euobs
703,center,everycrsreport.com,https://everycrsreport.com,48,27669,Every CRS Report,31,VERY HIGH,https://mediabiasfactcheck.com/every-crs-report/,/,,https://twitter.com/everycrsreport
704,left-center,euractiv.com,https://euractiv.com,63,705485,EurActiv,78,MIXED,https://mediabiasfactcheck.com/euractiv/,/,https://facebook.com/euractiv,https://twitter.com/euractiv
705,conspiracy,everynewshere.com,https://everynewshere.com,25,11,Every News Here,16,LOW,https://mediabiasfactcheck.com/every-news-here/,/,,
706,conspiracy,godandscience.org,https://godandscience.org,54,45030,Evidence for God from Science,53,LOW,https://mediabiasfactcheck.com/evidence-for-god-from-science/,/,https://facebook.com/none,
707,right-center,eppc.org,https://eppc.org,49,54172,Ethics and Public Policy Center (EPPC),57,HIGH,https://mediabiasfactcheck.com/ethics-public-policy-center-eppc/,/,https://facebook.com/eppc.org,
708,center,eurasiareview.com,https://eurasiareview.com,56,150844,Eurasia Review,58,HIGH,https://mediabiasfactcheck.com/eurasia-review/,/,https://facebook.com/eurasiareview,https://twitter.com/eurasiareview
